,excluded_column,imbalanced_approach,imbalanced_input,scaler,learning_rate_init,alpha,batch_size,hidden_layer_sizes,activation,solver,prediction_threshold,duration,f1_score
117,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",tanh,adam,0.8200000000000001,16.0,67.0
118,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",tanh,sgd,0.88,66.0,62.0
119,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,64.0,60.0
120,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",relu,adam,0.86,11.0,65.0
121,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",relu,sgd,0.86,25.0,68.0
122,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",relu,lbfgs,0.74,141.0,57.0
123,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",tanh,adam,0.88,11.0,67.0
124,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",tanh,sgd,0.89,35.0,65.0
125,none,resampling,SMOTETomek,power,0.001,0.01,256,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,66.0,60.0
126,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",relu,adam,0.88,14.0,70.0
127,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",relu,sgd,0.85,74.0,69.0
128,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",relu,lbfgs,0.74,167.0,57.0
129,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",tanh,adam,0.87,31.0,69.0
130,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",tanh,sgd,0.87,79.0,64.0
131,none,resampling,SMOTETomek,power,0.01,0.01,16,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,67.0,60.0
132,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",relu,adam,0.87,11.0,63.0
133,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",relu,sgd,0.81,34.0,69.0
134,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",relu,lbfgs,0.74,156.0,57.0
135,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",tanh,adam,0.89,22.0,68.0
136,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",tanh,sgd,0.81,44.0,63.0
137,none,resampling,SMOTETomek,power,0.01,0.01,64,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,65.0,60.0
138,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",relu,adam,0.89,7.0,65.0
139,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",relu,sgd,0.89,19.0,68.0
140,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",relu,lbfgs,0.74,158.0,57.0
141,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",tanh,adam,0.85,9.0,58.0
142,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",tanh,sgd,0.86,43.0,61.0
143,none,resampling,SMOTETomek,power,0.01,0.01,256,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,68.0,60.0
144,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,adam,0.89,77.0,60.0
145,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,sgd,0.8400000000000001,248.0,64.0
146,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,130.0,58.0
147,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,adam,0.89,85.0,66.0
148,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,sgd,0.75,283.0,63.0
149,none,resampling,SMOTETomek,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,lbfgs,0.12,86.0,57.0
150,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,adam,0.86,23.0,64.0
151,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,sgd,0.77,74.0,66.0
152,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,127.0,58.0
153,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,adam,0.7000000000000001,38.0,58.0
154,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,sgd,0.89,192.0,66.0
155,none,resampling,SMOTETomek,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,lbfgs,0.12,84.0,57.0
156,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,adam,0.63,21.0,64.0
157,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,sgd,0.8300000000000001,67.0,64.0
158,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,127.0,58.0
159,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,adam,0.88,28.0,63.0
160,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,sgd,0.86,104.0,66.0
161,none,resampling,SMOTETomek,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,lbfgs,0.12,85.0,57.0
162,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,adam,0.89,60.0,67.0
163,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,sgd,0.79,216.0,69.0
164,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,140.0,58.0
165,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,adam,0.8300000000000001,39.0,44.0
166,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,sgd,0.86,262.0,62.0
167,none,resampling,SMOTETomek,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,lbfgs,0.12,88.0,57.0
168,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,adam,0.86,31.0,63.0
169,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,sgd,0.88,73.0,68.0
170,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,131.0,58.0
171,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,adam,0.89,19.0,58.0
172,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,sgd,0.8200000000000001,101.0,65.0
173,none,resampling,SMOTETomek,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,lbfgs,0.12,85.0,57.0
174,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,adam,0.89,10.0,66.0
175,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,sgd,0.78,37.0,65.0
176,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,lbfgs,0.06999999999999999,130.0,58.0
177,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,adam,0.86,17.0,60.0
178,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,sgd,0.65,85.0,62.0
179,none,resampling,SMOTETomek,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,lbfgs,0.12,84.0,57.0
