,excluded_column,imbalanced_approach,imbalanced_input,scaler,best_learning_rate_init,best_alpha,best_batch_size,best_hidden_layer_sizes,best_activation,best_solver,prediction_threshold,duration,f1_score
64,temp_air_and_delta,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,37.0,43.0
65,temp_air_and_delta,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.85,33.0,42.0
66,none,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.85,10.0,67.0
67,none,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.79,12.0,69.0
68,none,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,16.0,71.0
69,none,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,8.0,65.0
70,none,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,8.0,65.0
71,none,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,10.0,68.0
72,type,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8200000000000001,7.0,67.0
73,type,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.6900000000000001,9.0,76.0
74,type,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,13.0,71.0
75,type,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,12.0,72.0
76,type,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,13.0,72.0
77,type,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,14.0,67.0
78,air_temperature_k,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8300000000000001,12.0,76.0
79,air_temperature_k,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,76.0
80,air_temperature_k,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8200000000000001,7.0,64.0
81,air_temperature_k,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,11.0,69.0
82,air_temperature_k,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,7.0,63.0
83,air_temperature_k,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,18.0,59.0
84,process_temperature_k,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,72.0
85,process_temperature_k,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,73.0
86,process_temperature_k,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,15.0,70.0
87,process_temperature_k,class_weights,1.5,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,65.0
88,process_temperature_k,class_weights,1.75,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,10.0,73.0
89,process_temperature_k,class_weights,1.75,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,14.0,66.0
90,rotational_speed_rpm,class_weights,1.25,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,12.0,72.0
91,rotational_speed_rpm,class_weights,1.25,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,11.0,73.0
92,rotational_speed_rpm,class_weights,1.5,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,15.0,70.0
